,name,price,product_url,image,FreeShip,Rating,Badge_Under_Price,Be_Paid_By_Installments,Free_Gifts
30,Tecno Pova 2 4GB l 64GB - Điện Thoại Thông Minh Chiến Game Cực Đỉnh - Hàng Chính Hãng,3.790.000 ₫,https://tiki.vn/tecno-pova-2-4gb-l-64gb-dien-thoai-thong-minh-chien-game-cuc-dinh-hang-chinh-hang-den-p107348438.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.107348438,https://salt.tikicdn.com/cache/200x200/ts/product/d4/50/e4/e7c058c983a84d47b11e78f6af4c0eae.png.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,96%,,True,
31, Máy Tính Bảng HUAWEI MatePad T 10 | Hiệu Suất Mượt Mà | Chế Độ Bảo Vệ Mắt | Âm Thanh Nổi Sống Động | Hàng Chính Hãng ,3.790.000 ₫,https://tiki.vn/may-tinh-bang-huawei-matepad-t-10-hieu-suat-muot-ma-che-do-bao-ve-mat-am-thanh-noi-song-dong-hang-chinh-hang-p98691894.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.98691894,https://salt.tikicdn.com/cache/200x200/ts/product/f8/c3/ff/9486b3dc02f794d8f22d05bfb8659d03.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,90%,,True,
32,Điện Thoại Oppo A54 (6GB/128GB) - Hàng Chính Hãng,4.250.000 ₫,https://tiki.vn/dien-thoai-oppo-a54-6gb-128gb-hang-chinh-hang-p114769680.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.114769680,https://salt.tikicdn.com/cache/200x200/ts/product/c1/59/2b/d4e0cdfc8feb7611c663c34347203f96.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,92%,True,True,
33,Máy đọc sách All New Kindle Bản đặc biệt 8GB - Hàng nhập khẩu,2.160.000 ₫,https://tiki.vn/may-doc-sach-all-new-kindle-ban-dac-biet-8gb-hang-nhap-khau-p66773643.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.66773643,https://salt.tikicdn.com/cache/200x200/ts/product/8b/d5/ff/8b8ab913d1f347396e5bfcb0fc336b74.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,100%,True,,
34,Điện thoại Vsmart Star 4 (3GB/32GB) - Hàng Chính Hãng,2.290.000 ₫,https://tiki.vn/dien-thoai-vsmart-star-4-3gb-32gb-hang-chinh-hang-p59043365.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.59043365,https://salt.tikicdn.com/cache/200x200/ts/product/14/50/80/afc6231938e536048c251fab5033f748.jpg.webp,https://salt.tikicdn.com/cache/200x200/ts/product/14/50/80/afc6231938e536048c251fab5033f748.jpg,94%,,,
35,Máy tính bảng HUAWEI MatePad T 10s - Hàng Phân Phối Chính Hãng,5.090.000 ₫,https://tiki.vn/may-tinh-bang-huawei-matepad-t-10s-hang-phan-phoi-chinh-hang-p75321722.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.75321722,https://salt.tikicdn.com/cache/200x200/ts/product/57/f2/ce/fdcf7fb9a17f19b99f0ae55a1ff2eda9.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,92%,True,True,
36,Điện thoại Nokia 105 Dual Sim 2019 - Hàng chính hãng,399.000 ₫,https://tiki.vn/dien-thoai-nokia-105-dual-sim-2019-hang-chinh-hang-p105633275.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.105633275,https://salt.tikicdn.com/cache/200x200/ts/product/fc/94/70/1458e7fadf7039e33ad0905fc3c4809b.jpg.webp,https://salt.tikicdn.com/cache/200x200/ts/product/fc/94/70/1458e7fadf7039e33ad0905fc3c4809b.jpg,92%,,,
37,Điện Thoại Xiaomi Redmi Note 10 Pro (8GB/128GB) - Hàng Chính Hãng,6.889.000 ₫,https://tiki.vn/dien-thoai-xiaomi-redmi-note-10-pro-8gb-128gb-hang-chinh-hang-p84715674.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.84715674,https://salt.tikicdn.com/cache/200x200/ts/product/5d/fb/78/f0d375927a275d0efe2d35898b3bafca.jpg.webp,https://salt.tikicdn.com/cache/200x200/ts/product/5d/fb/78/f0d375927a275d0efe2d35898b3bafca.jpg,96%,True,,
38,Combo Máy Đọc Sách Kindle Paperwhite Gen 10th (8GB - Màu Đen) và Bao da WELL BEGUN Màu Ghi Xám - Hàng Chính Hãng,3.990.000 ₫,https://tiki.vn/combo-may-doc-sach-kindle-paperwhite-gen-10th-8gb-mau-den-va-bao-da-well-begun-mau-ghi-xam-hang-chinh-hang-p19462200.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.19462200,https://salt.tikicdn.com/cache/200x200/ts/product/32/43/97/1826b8f651d510030d8850e738cad780.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,92%,True,True,
39,Điện Thoại Nokia 2.4 (2GB/32GB) - Hàng Chính Hãng,2.190.000 ₫,https://tiki.vn/dien-thoai-nokia-2-4-hang-chinh-hang-p69271416.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.69271416,https://salt.tikicdn.com/cache/200x200/ts/product/3e/94/b0/880b0055b189388585c8462239e39f08.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,100%,,,
40,"Điện Thoại di động GSM Vtel A2 (2 Sim) - Số To, Chữ To, Pin Bền, Thiết Kế Đẹp - Hàng Chính Hãng",179.000 ₫,https://tiki.vn/dien-thoai-di-dong-gsm-vtel-a2-2-sim-so-to-chu-to-pin-ben-thiet-ke-dep-hang-chinh-hang-p77756018.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.77756018,https://salt.tikicdn.com/cache/200x200/ts/product/67/4d/07/dea55882012b84b6296fa6ffd944fb9d.png.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,90%,True,,
